"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49"
"V1","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604","ACW00011604"
"V2","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949","1949"
"V3","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","8","8","8"
"V4","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","PGTM","WDFG","WSFG","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT08","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","WT03","WT16","TMAX","TMIN","PRCP","SNOW","SNWD","PRCP","SNOW","SNWD"
"V5"," 289"," 217","   0","   0","   0",NA," 267"," 211","   0","   0","   0","1300","  68"," 125","   1"," 272"," 211","   0","   0","   0",NA,NA," 278"," 194","   0","   0","   0",NA," 283"," 250","   8","   0","   0","   1"," 300"," 256","   0","   0","   0",NA,"   1"," 300"," 250","   0","   0","   0","   0","   0","   0"
"V9","289","228"," 30","  0","  0","  1","278","211"," 15","  0","  0",NA,NA,NA,"  1","289","206","  0","  0","  0","  1",NA,"283","217","  5","  0","  0","  1","283","244","  3","  0","  0","  1","294","239","  0","  0","  0",NA,NA,"300","211","  0","  0","  0"," 13","  0","  0"
"V13","283","222","  0","  0","  0",NA,"272","222","  0","  0","  0",NA,NA,NA,"  1","278","222","  5","  0","  0",NA,"  1","283","228","  0","  0","  0",NA,"278","233","292","  0","  0","  1","294","244","  0","  0","  0",NA,"  1","300","239","  0","  0","  0","  0","  0","  0"
"V17","283","233","  0","  0","  0","  1","267","206"," 64","  0","  0",NA,NA,NA,"  1","278","211"," 71","  0","  0",NA,"  1","294","233","  0","  0","  0",NA,"272","228"," 33","  0","  0","  1","294","222"," 15","  0","  0","  1","  1","300","256","  0","  0","  0"," 25","  0","  0"
"V21","289","222"," 25","  0","  0","  1","278","211"," 53","  0","  0",NA,NA,NA,"  1","278","228","  0","  0","  0",NA,NA,"283","233","  0","  0","  0",NA,"278","189","  8","  0","  0","  1","289","244","  0","  0","  0",NA,"  1","300","250","  0","  0","  0","  0","  0","  0"
"V25","289","222"," 41","  0","  0","  1","278","233","  5","  0","  0",NA,NA,NA,"  1","278","211"," 25","  0","  0",NA,"  1","283","233","  0","  0","  0","  1","283","233","  0","  0","  0","  1","294","228","198","  0","  0",NA,"  1","300","256","  0","  0","  0","  3","  0","  0"
"V29","278","228","  0","  0","  0",NA,"278","211","  3","  0","  0",NA,NA,NA,"  1","289","211","  0","  0","  0",NA,NA,"278","217"," 18","  0","  0","  1","278","233","  5","  0","  0","  1","300","217"," 23","  0","  0",NA,"  1","294","250","  0","  0","  0","  0","  0","  0"
"V33","267","217","  0","  0","  0","  1","267","233"," 18","  0","  0",NA,NA,NA,"  1","294","189","  0","  0","  0",NA,NA,"283","239","  0","  0","  0",NA,"294","233"," 23","  0","  0","  1","294","239","  8","  0","  0",NA,"  1","306","256","  0","  0","  0"," 18","  0","  0"
"V37","272","222","  0","  0","  0",NA,"278","206"," 41","  0","  0",NA,NA,NA,"  1","294","206"," 66","  0","  0",NA,"  1","283","233","  0","  0","  0","  1","294","233","  0","  0","  0","  1","278","222"," 76","  0","  0","  1","  1","289","244","150","  0","  0","  0","  0","  0"
"V41","278","183","  0","  0","  0",NA,"267","211"," 18","  0","  0","624"," 68","107","  1","272","206"," 36","  0","  0",NA,"  1","289","228","  0","  0","  0","  1","294","244","  0","  0","  0",NA,"300","244","  0","  0","  0",NA,"  1","300","256","  0","  0","  0","  0","  0","  0"
"V45","267","189"," 56","  0","  0","  1","272","211"," 13","  0","  0",NA,NA,NA,"  1","272","211","  0","  0","  0",NA,NA,"283","239","  0","  0","  0",NA,"289","244","  0","  0","  0",NA,"289","256","  0","  0","  0",NA,NA,"294","250","  0","  0","  0","  0","  0","  0"
"V49","278","194","  0","  0","  0","  1","267","222"," 46","  0","  0",NA,NA,NA,"  1","278","206","  0","  0","  0",NA,NA,"289","222","  0","  0","  0","  1","294","250","  0","  0","  0",NA,"294","244","  8","  0","  0",NA,"  1","294","211","  0","  0","  0","  0","  0","  0"
"V53","267","161","  8","  0","  0","  1","261","211","  8","  0","  0",NA,NA,NA,"  1","283","233","  0","  0","  0",NA,"  1","289","222","  0","  0","  0",NA,"294","239","  0","  0","  0",NA,"300","244","  0","  0","  0",NA,NA,"294","250","  0","  0","  0","  0","  0","  0"
"V57","267","183","  0","  0","  0",NA,"261","217","  0","  0","  0",NA,NA,NA,"  1","278","206"," 25","  0","  0",NA,"  1","289","244"," 18","  0","  0","  1","294","239","  0","  0","  0",NA,"300","244"," 66","  0","  0",NA,"  1","294","250"," 10","  0","  0","  0","  0","  0"
"V61","278","178","  0","  0","  0",NA,"261","206"," 30","  0","  0","724"," 68","134","  1","283","228","  0","  0","  0",NA,"  1","294","211"," 10","  0","  0","  1","289","233","  0","  0","  0","  1","289","250","  0","  0","  0",NA,NA,"294","222"," 36","  0","  0",NA,NA,NA
"V65","267","222","  0","  0","  0",NA,"267","200"," 15","  0","  0",NA,NA,NA,"  1","283","222","  0","  0","  0",NA,"  1","289","233","  0","  0","  0",NA,"294","239","  0","  0","  0",NA,"294","261","  0","  0","  0",NA,"  1","294","250"," 20","  0","  0",NA,NA,NA
"V69","267","211","  0","  0","  0",NA,"278","222","  0","  0","  0",NA,NA,NA,"  1","283","228","  0","  0","  0",NA,"  1","289","239","  0","  0","  0",NA,"294","233"," 23","  0","  0","  1","283","233"," 61","  0","  0",NA,"  1","300","239","  0","  0","  0",NA,NA,NA
"V73","272","211","  0","  0","  0","  1","272","228","  0","  0","  0",NA,NA,NA,"  1","289","233","  8","  0","  0",NA,"  1","294","239","  0","  0","  0",NA,"294","244","  5","  0","  0","  1","300","211"," 30","  0","  0","  1","  1","300","256","  0","  0","  0",NA,NA,NA
"V77","272","194","  3","  0","  0","  1","278","211","  5","  0","  0",NA,NA,NA,"  1","283","222",NA,"  0","  0",NA,"  1","289","244","  0","  0","  0","  1","294","256","  0","  0","  0",NA,"294","239"," 51","  0","  0",NA,"  1","289","222","  0","  0","  0",NA,NA,NA
"V81","272","217","  0","  0","  0","  1","278","211"," 69","  0","  0",NA,NA,NA,"  1","272","217"," 41","  0","  0",NA,"  1","289","222","  0","  0","  0","  1","294","244"," 41","  0","  0","  1","294","233","  0","  0","  0","  1",NA,"300","250","  0","  0","  0",NA,NA,NA
"V85","278","217"," 51","  0","  0","  1","283","217","  0","  0","  0","824","113","148","  1","278","200","203","  0","  0",NA,"  1","289","217","  8","  0","  0",NA,"294","233"," 30","  0","  0","  1","289","228","112","  0","  0",NA,NA,"294","250","  5","  0","  0",NA,NA,NA
"V89","272","217","  0","  0","  0",NA,"272","200"," 89","  0","  0",NA,NA,NA,"  1","272","222"," 13","  0","  0",NA,"  1","289","228"," 10","  0","  0","  1","294","256","  0","  0","  0",NA,"300","217","  0","  0","  0",NA,NA,"306","239","  0","  0","  0",NA,NA,NA
"V93","267","211"," 53","  0","  0","  1","272","211","  0","  0","  0",NA,NA,NA,NA,"278","233","  0","  0","  0",NA,NA,"289","228","  0","  0","  0",NA,"289","250","  8","  0","  0","  1","300","256","  0","  0","  0",NA,NA,"294","244","  8","  0","  0",NA,NA,NA
"V97","267","211","  0","  0","  0",NA,"267","211","  0","  0","  0",NA,NA,NA,NA,"278","206","  0","  0","  0",NA,"  1","289","217","107","  0","  0","  1","294","244","  0","  0","  0","  1","294","250","  0","  0","  0",NA,NA,"306","256","  0","  0","  0",NA,NA,NA
"V101","267","200"," 10","  0","  0","  1","267","200"," 18","  0","  0",NA,NA,NA,"  1","261","194","328","  0","  0",NA,"  1","306","222"," 53","  0","  0","  1","300","244","  0","  0","  0",NA,"294","267","  0","  0","  0",NA,NA,"306","250","  0","  0","  0",NA,NA,NA
"V105","278","222"," 15","  0","  0","  1","267","211","  0","  0","  0",NA,NA,NA,NA,"261","189","378","  0","  0",NA,"  1","294","233","  0","  0","  0",NA,"300","250","  0","  0","  0",NA,"300","250","  0","  0","  0",NA,NA,"306","261","  0","  0","  0",NA,NA,NA
"V109","272","217"," 41","  0","  0","  1","267","217","  0","  0","  0",NA,NA,NA,NA,"267","256","  3","  0","  0",NA,"  1","272","211","361","  0","  0","  1","300","233","  0","  0","  0",NA,"300","244"," 33","  0","  0",NA,NA,"300","256"," 13","  0","  0",NA,NA,NA
"V113","272","211","  0","  0","  0","  1","272","222","  5","  0","  0",NA,NA,NA,"  1","267","228"," 23","  0","  0",NA,"  1","278","211","  0","  0","  0","  1","300","244","  0","  0","  0",NA,"300","261","  0","  0","  0",NA,NA,"306","261","  0","  0","  0",NA,NA,NA
"V117","272","222"," 86","  0","  0","  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"283","222","  0","  0","  0",NA,"  1","289","222","  5","  0","  0","  1","300","256","  0","  0","  0",NA,"300","250","  0","  0","  0",NA,NA,"300","256","  0","  0","  0",NA,NA,NA
"V121","272","206"," 28","  0","  0","  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"278","206"," 71","  0","  0",NA,"  1","289","222","  0","  0","  0",NA,"294","250","  0","  0","  0",NA,"294","250","  0","  0","  0",NA,NA,"306","261","  0","  0","  0",NA,NA,NA
"V125","272","217"," 15","  0","  0","  1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"267","222","  0","  0","  0",NA,NA,NA,NA,NA,NA,NA,NA,"300","256","  0","  0","  0",NA,NA,NA,NA,NA,NA,NA,NA,"294","256","  0","  0","  0",NA,NA,NA
